difficulty,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
L2,deepseek_v4_flash,direct,85,0.9144919958933798,0.9176470588235294,0.5505882352941177,0.0,0.5411764705882353
L2,deepseek_v4_flash,plan_first,85,0.9289866534849232,0.9529411764705882,0.571764705882353,0.0,0.5235294117647059
L2,deepseek_v4_flash,spec_first,85,0.9201684129019768,0.9529411764705882,0.571764705882353,1.0,0.047058823529411764
L2,deepseek_v4_pro,direct,85,0.9346743222175746,0.9764705882352941,0.5858823529411765,0.0,0.5117647058823529
L2,deepseek_v4_pro,plan_first,85,0.9343818810946837,0.9882352941176471,0.5929411764705882,0.0,0.5058823529411764
L2,deepseek_v4_pro,spec_first,85,0.9250055135176242,0.9176470588235294,0.5505882352941177,1.0,0.08235294117647059
L3,deepseek_v4_flash,direct,105,0.9374434389140271,0.9809523809523809,0.5885714285714285,0.0,0.5095238095238095
L3,deepseek_v4_flash,plan_first,105,0.9254686489980608,0.9619047619047619,0.5771428571428571,0.0,0.5190476190476191
L3,deepseek_v4_flash,spec_first,105,0.9199682670270907,0.9523809523809523,0.5714285714285714,1.0,0.047619047619047616
L3,deepseek_v4_pro,direct,105,0.922120232708468,0.9428571428571428,0.5657142857142856,0.0,0.5285714285714286
L3,deepseek_v4_pro,plan_first,105,0.9241610490349987,0.9333333333333333,0.5599999999999999,0.0,0.5333333333333333
L3,deepseek_v4_pro,spec_first,105,0.9244066857512236,0.9523809523809523,0.5714285714285713,1.0,0.047619047619047616
L4,deepseek_v4_flash,direct,60,0.9364705882352939,0.9666666666666667,0.5800000000000002,0.0,0.5166666666666667
L4,deepseek_v4_flash,plan_first,60,0.9208306399482868,0.9333333333333333,0.5600000000000002,0.0,0.5333333333333333
L4,deepseek_v4_flash,spec_first,60,0.9156108597285066,0.9333333333333333,0.5600000000000002,1.0,0.06666666666666667
L4,deepseek_v4_pro,direct,60,0.9166348357524827,0.9333333333333333,0.5600000000000002,0.0,0.5333333333333333
L4,deepseek_v4_pro,plan_first,60,0.9109851912793088,0.9,0.5400000000000001,0.0,0.55
L4,deepseek_v4_pro,spec_first,60,0.9388235294117646,0.9833333333333333,0.5900000000000001,1.0,0.016666666666666666
