domain,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
calendar,deepseek_v4_flash,direct,50,0.8911499676793794,0.8,0.48,0.0,0.6
calendar,deepseek_v4_flash,plan_first,50,0.8630523594053007,0.76,0.45599999999999996,0.0,0.62
calendar,deepseek_v4_flash,spec_first,50,0.830246812011518,0.74,0.44400000000000006,1.0,0.26
calendar,deepseek_v4_pro,direct,50,0.8606547570076982,0.76,0.45599999999999996,0.0,0.62
calendar,deepseek_v4_pro,plan_first,50,0.857663748016689,0.72,0.43200000000000005,0.0,0.64
calendar,deepseek_v4_pro,spec_first,50,0.875645765998707,0.74,0.44400000000000006,1.0,0.26
crm_workflow,deepseek_v4_flash,direct,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
crm_workflow,deepseek_v4_flash,plan_first,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
crm_workflow,deepseek_v4_flash,spec_first,50,0.9411764705882352,1.0,0.6000000000000001,1.0,0.0
crm_workflow,deepseek_v4_pro,direct,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
crm_workflow,deepseek_v4_pro,plan_first,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
crm_workflow,deepseek_v4_pro,spec_first,50,0.9411764705882352,1.0,0.6000000000000001,1.0,0.0
email,deepseek_v4_flash,direct,50,0.9323529411764704,0.98,0.5880000000000001,0.0,0.51
email,deepseek_v4_flash,plan_first,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
email,deepseek_v4_flash,spec_first,50,0.9411764705882352,1.0,0.6000000000000001,1.0,0.0
email,deepseek_v4_pro,direct,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
email,deepseek_v4_pro,plan_first,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
email,deepseek_v4_pro,spec_first,50,0.9411764705882352,1.0,0.6000000000000001,1.0,0.0
file_doc,deepseek_v4_flash,direct,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
file_doc,deepseek_v4_flash,plan_first,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
file_doc,deepseek_v4_flash,spec_first,50,0.9411764705882352,1.0,0.6000000000000001,1.0,0.0
file_doc,deepseek_v4_pro,direct,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
file_doc,deepseek_v4_pro,plan_first,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
file_doc,deepseek_v4_pro,spec_first,50,0.9411764705882352,1.0,0.6000000000000001,1.0,0.0
sheet_db,deepseek_v4_flash,direct,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
sheet_db,deepseek_v4_flash,plan_first,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
sheet_db,deepseek_v4_flash,spec_first,50,0.9411764705882352,1.0,0.6000000000000001,1.0,0.0
sheet_db,deepseek_v4_pro,direct,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
sheet_db,deepseek_v4_pro,plan_first,50,0.9411764705882352,1.0,0.6000000000000001,0.0,0.5
sheet_db,deepseek_v4_pro,spec_first,50,0.9411764705882352,1.0,0.6000000000000001,1.0,0.0
