model,agent,task_id,k,task_success_pass_at_k,donespec_valid_pass_at_k,all_trials_consistent_success
deepseek_v4_flash,direct,calendar_011,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_012,1,0.0,0.0,1.0
deepseek_v4_flash,direct,calendar_013,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_014,1,0.0,0.0,1.0
deepseek_v4_flash,direct,calendar_015,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_016,1,0.0,0.0,1.0
deepseek_v4_flash,direct,calendar_017,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_018,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_019,1,0.0,0.0,1.0
deepseek_v4_flash,direct,calendar_020,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_021,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_022,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_023,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_024,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_025,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_026,1,0.0,0.0,1.0
deepseek_v4_flash,direct,calendar_027,1,0.0,0.0,1.0
deepseek_v4_flash,direct,calendar_028,1,0.0,0.0,1.0
deepseek_v4_flash,direct,calendar_029,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_030,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_031,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_032,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_033,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_034,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_035,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_036,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_037,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_038,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_039,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_040,1,0.0,0.0,1.0
deepseek_v4_flash,direct,calendar_041,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_042,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_043,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_044,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_045,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_046,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_047,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_048,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_049,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_050,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_051,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_052,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_053,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_054,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_055,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_056,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_057,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_058,1,0.0,0.0,1.0
deepseek_v4_flash,direct,calendar_059,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_060,1,0.0,0.0,1.0
deepseek_v4_flash,direct,crm_workflow_011,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_012,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_013,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_014,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_015,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_016,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_017,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_018,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_019,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_020,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_021,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_022,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_023,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_024,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_025,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_026,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_027,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_028,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_029,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_030,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_031,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_032,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_033,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_034,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_035,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_036,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_037,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_038,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_039,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_040,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_041,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_042,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_043,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_044,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_045,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_046,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_047,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_048,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_049,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_050,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_051,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_052,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_053,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_054,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_055,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_056,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_057,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_058,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_059,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_060,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_011,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_012,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_013,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_014,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_015,1,0.0,0.0,1.0
deepseek_v4_flash,direct,email_016,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_017,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_018,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_019,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_020,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_021,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_022,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_023,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_024,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_025,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_026,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_027,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_028,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_029,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_030,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_031,1,0.0,1.0,1.0
