task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant
calendar_011,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_013,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_015,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_017,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_018,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_016,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.6666666666666666,0.8,0.7499999999999999,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,good_spec_bad_execution
calendar_020,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_022,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_021,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_023,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_024,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_025,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_026,calendar,L2,direct,deepseek_v4_flash,0,1.0,0.7777777777777778,0.8750000000000001,0.7499999999999999,1.0,1.0,0.0,0.2222222222222222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,good_spec_bad_execution
calendar_029,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_030,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_032,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_031,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_033,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_034,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_035,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_036,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_037,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_038,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_039,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
calendar_041,calendar,L3,direct,deepseek_v4_flash,0,1.0,0.8888888888888888,0.9411764705882353,1.0,0.6666666666666666,1.0,0.0,0.1111111111111111,1.0,0.6,0.4,1.0,0.8,0.0,0.0,0.5,0.5,good_spec_bad_execution
