difficulty,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
L2,deepseek_v4_flash,direct,170,0.4394956081980302,1.0,0.5999999999999999,0.0,0.5
L2,deepseek_v4_flash,plan_first,170,0.4581324701826432,1.0,0.5999999999999999,0.0,0.5
L2,deepseek_v4_flash,spec_first,170,0.5743791805838793,0.8294117647058824,0.4976470588235294,0.29411764705882354,0.17058823529411765
L2,deepseek_v4_pro,direct,170,0.6077638594534424,0.9294117647058824,0.5576470588235293,0.0,0.5352941176470588
L2,deepseek_v4_pro,plan_first,170,0.5077037522161361,0.9352941176470588,0.5611764705882353,0.0,0.5323529411764706
L2,deepseek_v4_pro,spec_first,170,0.6776000199238225,0.7176470588235294,0.43058823529411766,0.1,0.2823529411764706
L3,deepseek_v4_flash,direct,210,0.42268361145627853,0.9952380952380953,0.5971428571428571,0.0,0.5023809523809524
L3,deepseek_v4_flash,plan_first,210,0.4649752357083184,0.9952380952380953,0.5971428571428571,0.0,0.5023809523809524
L3,deepseek_v4_flash,spec_first,210,0.5485101531308962,0.8523809523809524,0.5114285714285713,0.2619047619047619,0.14761904761904762
L3,deepseek_v4_pro,direct,210,0.5867221373906565,0.9619047619047619,0.577142857142857,0.0,0.5190476190476191
L3,deepseek_v4_pro,plan_first,210,0.5558253608171883,0.9333333333333333,0.5599999999999999,0.0,0.5333333333333333
L3,deepseek_v4_pro,spec_first,210,0.6734339053791779,0.7333333333333333,0.4399999999999999,0.0761904761904762,0.26666666666666666
L4,deepseek_v4_flash,direct,120,0.45788161713151615,1.0,0.5999999999999999,0.0,0.5
L4,deepseek_v4_flash,plan_first,120,0.5203498101112181,1.0,0.5999999999999999,0.0,0.5
L4,deepseek_v4_flash,spec_first,120,0.5873789752521749,0.85,0.5099999999999999,0.18333333333333332,0.15
L4,deepseek_v4_pro,direct,120,0.6121939980824196,0.975,0.5849999999999999,0.0,0.5125
L4,deepseek_v4_pro,plan_first,120,0.6134086710142034,0.9416666666666667,0.5649999999999998,0.0,0.5291666666666667
L4,deepseek_v4_pro,spec_first,120,0.6964649726031137,0.775,0.4649999999999999,0.075,0.225
