domain,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
calendar,deepseek_v4_flash,direct,100,0.37076715828031614,1.0,0.6,0.0,0.5
calendar,deepseek_v4_flash,plan_first,100,0.3840811427134955,1.0,0.6,0.0,0.5
calendar,deepseek_v4_flash,spec_first,100,0.4919783869381392,0.83,0.498,0.13,0.17
calendar,deepseek_v4_pro,direct,100,0.5369496458881301,0.95,0.57,0.0,0.525
calendar,deepseek_v4_pro,plan_first,100,0.4647309920901252,0.89,0.5339999999999999,0.0,0.555
calendar,deepseek_v4_pro,spec_first,100,0.6150097351393018,0.73,0.43799999999999994,0.11,0.27
crm_workflow,deepseek_v4_flash,direct,100,0.47879570386613723,1.0,0.6,0.0,0.5
crm_workflow,deepseek_v4_flash,plan_first,100,0.5257095122575335,1.0,0.6,0.0,0.5
crm_workflow,deepseek_v4_flash,spec_first,100,0.6076067314925843,0.86,0.5159999999999999,0.07,0.14
crm_workflow,deepseek_v4_pro,direct,100,0.6027762696360488,0.98,0.588,0.0,0.51
crm_workflow,deepseek_v4_pro,plan_first,100,0.5598612411615844,0.95,0.57,0.0,0.525
crm_workflow,deepseek_v4_pro,spec_first,100,0.6887713922644264,0.68,0.40800000000000003,0.02,0.32
email,deepseek_v4_flash,direct,100,0.4588520706907097,1.0,0.6,0.0,0.5
email,deepseek_v4_flash,plan_first,100,0.49682923163344483,0.99,0.5939999999999999,0.0,0.505
email,deepseek_v4_flash,spec_first,100,0.5768961459824631,0.79,0.47400000000000003,0.14,0.21
email,deepseek_v4_pro,direct,100,0.5876095714234764,0.95,0.57,0.0,0.525
email,deepseek_v4_pro,plan_first,100,0.5911167604101377,0.92,0.5519999999999999,0.0,0.54
email,deepseek_v4_pro,spec_first,100,0.6820541097824716,0.71,0.42599999999999993,0.05,0.29
file_doc,deepseek_v4_flash,direct,100,0.43764604829892895,1.0,0.6,0.0,0.5
file_doc,deepseek_v4_flash,plan_first,100,0.4822414466338615,1.0,0.6,0.0,0.5
file_doc,deepseek_v4_flash,spec_first,100,0.579268155357602,0.85,0.51,0.36,0.15
file_doc,deepseek_v4_pro,direct,100,0.6526266684457964,0.95,0.57,0.0,0.525
file_doc,deepseek_v4_pro,plan_first,100,0.6020193533265615,0.98,0.588,0.0,0.51
file_doc,deepseek_v4_pro,spec_first,100,0.7424847958199352,0.77,0.462,0.09,0.23
sheet_db,deepseek_v4_flash,direct,100,0.4381750774165634,0.99,0.5939999999999999,0.0,0.505
sheet_db,deepseek_v4_flash,plan_first,100,0.49083163319308826,1.0,0.6,0.0,0.5
sheet_db,deepseek_v4_flash,spec_first,100,0.5774212790992976,0.89,0.5339999999999999,0.57,0.11
sheet_db,deepseek_v4_pro,direct,100,0.6199856918966826,0.94,0.564,0.0,0.53
sheet_db,deepseek_v4_pro,plan_first,100,0.5486916947121617,0.94,0.564,0.0,0.53
sheet_db,deepseek_v4_pro,spec_first,100,0.6735691692843732,0.8,0.48,0.15,0.2
