model,agent,execution_mode,spec_parse_status,action_parse_status,n
deepseek_v4_flash,direct,tool_plan_executor,parsed,invalid_no_fallback,22
deepseek_v4_flash,direct,tool_plan_executor,parsed,parsed,28
deepseek_v4_flash,plan_first,tool_plan_executor,fallback,invalid_no_fallback,1
deepseek_v4_flash,plan_first,tool_plan_executor,parsed,invalid_no_fallback,24
deepseek_v4_flash,plan_first,tool_plan_executor,parsed,parsed,25
deepseek_v4_flash,spec_first,tool_plan_executor,fallback,invalid_no_fallback,2
deepseek_v4_flash,spec_first,tool_plan_executor,fallback,parsed,9
deepseek_v4_flash,spec_first,tool_plan_executor,parsed,invalid_no_fallback,10
deepseek_v4_flash,spec_first,tool_plan_executor,parsed,parsed,29
deepseek_v4_pro,direct,tool_plan_executor,fallback,invalid_no_fallback,4
deepseek_v4_pro,direct,tool_plan_executor,fallback,parsed,1
deepseek_v4_pro,direct,tool_plan_executor,parsed,invalid_no_fallback,34
deepseek_v4_pro,direct,tool_plan_executor,parsed,parsed,11
deepseek_v4_pro,plan_first,tool_plan_executor,fallback,invalid_no_fallback,2
deepseek_v4_pro,plan_first,tool_plan_executor,fallback,parsed,1
deepseek_v4_pro,plan_first,tool_plan_executor,parsed,invalid_no_fallback,30
deepseek_v4_pro,plan_first,tool_plan_executor,parsed,parsed,17
deepseek_v4_pro,spec_first,tool_plan_executor,fallback,invalid_no_fallback,8
deepseek_v4_pro,spec_first,tool_plan_executor,fallback,parsed,14
deepseek_v4_pro,spec_first,tool_plan_executor,parsed,invalid_no_fallback,15
deepseek_v4_pro,spec_first,tool_plan_executor,parsed,parsed,13
