model,provider_model,agent,input_tokens,output_tokens,latency_s,attempts,token_estimated,estimated_cost_usd
deepseek_v4_flash,deepseek-v4-flash,direct,439,929,18.144667200000185,1,False,0.00032158
deepseek_v4_flash,deepseek-v4-flash,direct,445,585,12.297420599999896,1,False,0.00022610000000000002
deepseek_v4_flash,deepseek-v4-flash,direct,439,689,13.873468699999648,1,False,0.00025438
deepseek_v4_flash,deepseek-v4-flash,direct,446,733,13.761444699999629,1,False,0.00026768
deepseek_v4_flash,deepseek-v4-flash,direct,453,683,13.672665199999756,1,False,0.00025466000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,455,986,17.96606350000002,1,False,0.00033978000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,456,680,14.103818400000819,1,False,0.00025424000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,448,1178,21.36718529999962,1,False,0.0003925600000000001
deepseek_v4_flash,deepseek-v4-flash,direct,446,872,17.577464199999667,1,False,0.0003066
deepseek_v4_flash,deepseek-v4-flash,direct,472,1337,24.331812000000355,1,False,0.00044044000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,467,548,11.350534100000004,1,False,0.00021882000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,444,1294,22.285508000000846,1,False,0.0004244800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,454,668,14.164627899999687,1,False,0.0002506
deepseek_v4_flash,deepseek-v4-flash,direct,456,916,18.159869600000093,1,False,0.00032032
deepseek_v4_flash,deepseek-v4-flash,direct,473,702,13.9121954000002,1,False,0.00026278000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,449,988,18.39534239999921,1,False,0.00033950000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,455,743,14.764324100000522,1,False,0.00027174
deepseek_v4_flash,deepseek-v4-flash,direct,441,782,15.228167500001291,1,False,0.00028070000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,448,883,16.853538199999093,1,False,0.00030996
deepseek_v4_flash,deepseek-v4-flash,direct,465,1462,25.986358300000575,1,False,0.00047446000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,450,1800,31.324229699999705,1,False,0.0005670000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,447,1301,24.035694299998795,1,False,0.00042686
deepseek_v4_flash,deepseek-v4-flash,direct,451,989,17.80662090000078,1,False,0.00034006
deepseek_v4_flash,deepseek-v4-flash,direct,469,1366,25.30612579999979,1,False,0.00044814000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,453,1010,17.92077170000084,1,False,0.00034622
deepseek_v4_flash,deepseek-v4-flash,direct,451,1514,25.964685300001292,1,False,0.00048706
deepseek_v4_flash,deepseek-v4-flash,direct,434,1337,24.663689100001648,1,False,0.00043512
deepseek_v4_flash,deepseek-v4-flash,direct,470,1062,18.92057779999959,1,False,0.00036316
deepseek_v4_flash,deepseek-v4-flash,direct,452,1854,30.80292240000017,1,False,0.0005824
deepseek_v4_flash,deepseek-v4-flash,direct,436,1115,20.449245300000257,1,False,0.00037324000000000005
deepseek_v4_flash,deepseek-v4-flash,direct,447,1033,20.1325925000001,1,False,0.00035182
deepseek_v4_flash,deepseek-v4-flash,direct,456,1325,22.37233329999981,1,False,0.00043484000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,459,1237,23.08564280000064,1,False,0.00041062
deepseek_v4_flash,deepseek-v4-flash,direct,449,1098,20.44717739999942,1,False,0.00037030000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,444,1188,22.653358800000206,1,False,0.00039480000000000006
deepseek_v4_flash,deepseek-v4-flash,direct,454,1396,24.195575899999312,1,False,0.0004544400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,446,1296,22.352402800001073,1,False,0.00042532000000000003
deepseek_v4_flash,deepseek-v4-flash,direct,453,1456,24.999528699998336,1,False,0.00047110000000000007
deepseek_v4_flash,deepseek-v4-flash,direct,470,1715,29.432465100000627,1,False,0.000546
deepseek_v4_flash,deepseek-v4-flash,direct,447,1547,26.243362700000944,1,False,0.00049574
deepseek_v4_flash,deepseek-v4-flash,direct,439,1575,27.28718470000058,1,False,0.00050246
deepseek_v4_flash,deepseek-v4-flash,direct,454,1375,26.468681000000288,1,False,0.0004485600000000001
deepseek_v4_flash,deepseek-v4-flash,direct,441,1475,26.73892530000012,1,False,0.0004747400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,471,1652,29.579023999998753,1,False,0.0005285000000000001
deepseek_v4_flash,deepseek-v4-flash,direct,446,2080,35.07578749999993,1,False,0.0006448400000000001
deepseek_v4_flash,deepseek-v4-flash,direct,468,1799,30.083690499999648,1,False,0.00056924
deepseek_v4_flash,deepseek-v4-flash,direct,451,1713,30.948806200000035,1,False,0.0005427800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,456,1873,31.911383900000146,1,False,0.00058828
deepseek_v4_flash,deepseek-v4-flash,direct,447,2000,34.06986770000003,1,False,0.0006225800000000001
deepseek_v4_flash,deepseek-v4-flash,direct,468,2075,35.39197160000003,1,False,0.0006465199999999999
deepseek_v4_flash,deepseek-v4-flash,plan_first,478,1916,28.556450799998856,1,False,0.0006034
deepseek_v4_flash,deepseek-v4-flash,plan_first,473,1338,21.140365200000815,1,False,0.00044086000000000006
deepseek_v4_flash,deepseek-v4-flash,plan_first,459,858,13.313494899999569,1,False,0.0003045
deepseek_v4_pro,deepseek-v4-pro,direct,445,894,29.17143870000109,1,False,0.000971355
deepseek_v4_flash,deepseek-v4-flash,plan_first,447,996,16.06172080000033,1,False,0.00034146000000000003
deepseek_v4_pro,deepseek-v4-pro,direct,434,1761,57.36208000000079,1,False,0.0017208599999999998
deepseek_v4_flash,deepseek-v4-flash,plan_first,455,1532,22.81507590000001,1,False,0.00049266
deepseek_v4_flash,deepseek-v4-flash,plan_first,460,1079,17.972926800001005,1,False,0.00036652
deepseek_v4_flash,deepseek-v4-flash,plan_first,464,1197,20.275403199999346,1,False,0.00040012
deepseek_v4_flash,deepseek-v4-flash,plan_first,442,771,12.772341299998516,1,False,0.00027776000000000005
deepseek_v4_pro,deepseek-v4-pro,direct,451,1395,46.628879199999574,1,False,0.0014098350000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,462,2012,29.770333300000857,1,False,0.00062804
deepseek_v4_flash,deepseek-v4-flash,plan_first,454,801,13.403832299998612,1,False,0.00028784000000000004
deepseek_v4_pro,deepseek-v4-pro,direct,454,1723,48.373663499998656,1,False,0.0016965
deepseek_v4_flash,deepseek-v4-flash,plan_first,452,921,16.35909509999874,1,False,0.0003211600000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first,449,1724,26.72650049999902,1,False,0.00054558
deepseek_v4_pro,deepseek-v4-pro,direct,441,1625,54.43998869999996,1,False,0.001605585
deepseek_v4_pro,deepseek-v4-pro,direct,444,2044,57.10261530000025,1,False,0.00197142
deepseek_v4_flash,deepseek-v4-flash,plan_first,456,1476,22.457323300001008,1,False,0.00047712
deepseek_v4_pro,deepseek-v4-pro,direct,456,1771,58.02386470000056,1,False,0.00173913
deepseek_v4_pro,deepseek-v4-pro,direct,465,2291,73.16564600000129,1,False,0.0021954450000000003
deepseek_v4_pro,deepseek-v4-pro,direct,446,2400,75.92595849999998,1,False,0.00228201
deepseek_v4_pro,deepseek-v4-pro,direct,448,2400,65.68950020000011,1,False,0.00228288
deepseek_v4_pro,deepseek-v4-pro,direct,470,2225,71.02280830000018,1,False,0.0021401999999999997
deepseek_v4_flash,deepseek-v4-flash,plan_first,478,2400,38.065070699998614,1,False,0.0007389200000000001
deepseek_v4_pro,deepseek-v4-pro,direct,454,1196,36.91436969999995,1,False,0.00123801
deepseek_v4_pro,deepseek-v4-pro,direct,453,1209,38.592817200000354,1,False,0.001248885
deepseek_v4_pro,deepseek-v4-pro,direct,446,1251,39.07508489999964,1,False,0.0012823799999999998
deepseek_v4_pro,deepseek-v4-pro,direct,439,2400,77.35842920000141,1,False,0.002278965
deepseek_v4_pro,deepseek-v4-pro,direct,470,2400,75.66065459999845,1,False,0.0022924499999999997
deepseek_v4_pro,deepseek-v4-pro,direct,444,1581,49.698351200000616,1,False,0.0015686100000000002
deepseek_v4_pro,deepseek-v4-pro,direct,452,2400,77.58776249999937,1,False,0.00228462
deepseek_v4_pro,deepseek-v4-pro,direct,447,2400,76.47801059999983,1,False,0.002282445
deepseek_v4_pro,deepseek-v4-pro,direct,439,1177,36.906164199999694,1,False,0.001214955
deepseek_v4_flash,deepseek-v4-flash,plan_first,457,842,14.32483719999982,1,False,0.00029974
deepseek_v4_flash,deepseek-v4-flash,plan_first,455,1193,20.123904399999446,1,False,0.00039774
deepseek_v4_flash,deepseek-v4-flash,plan_first,462,1222,19.143391399999018,1,False,0.00040684000000000006
deepseek_v4_pro,deepseek-v4-pro,direct,436,1159,36.85946630000035,1,False,0.00119799
deepseek_v4_pro,deepseek-v4-pro,direct,447,1842,57.454889299999195,1,False,0.0017969849999999999
deepseek_v4_flash,deepseek-v4-flash,plan_first,447,1320,21.49667969999973,1,False,0.00043218
deepseek_v4_flash,deepseek-v4-flash,plan_first,461,1148,17.269136299999445,1,False,0.00038598000000000007
deepseek_v4_flash,deepseek-v4-flash,plan_first,459,1539,23.542903800000204,1,False,0.00049518
deepseek_v4_flash,deepseek-v4-flash,plan_first,453,678,11.749634499999956,1,False,0.00025326000000000005
deepseek_v4_pro,deepseek-v4-pro,direct,455,2400,73.4773649000017,1,False,0.0022859250000000003
deepseek_v4_pro,deepseek-v4-pro,direct,449,1425,44.397873800000525,1,False,0.0014350650000000001
deepseek_v4_pro,deepseek-v4-pro,direct,453,1163,35.87526119999893,1,False,0.001208865
deepseek_v4_flash,deepseek-v4-flash,plan_first,476,926,15.357568700001138,1,False,0.00032592
deepseek_v4_pro,deepseek-v4-pro,direct,439,2007,62.365279999999984,1,False,0.0019370549999999998
deepseek_v4_pro,deepseek-v4-pro,direct,447,1446,44.86069090000092,1,False,0.001452465
deepseek_v4_pro,deepseek-v4-pro,direct,469,1554,48.65871960000004,1,False,0.001555995
deepseek_v4_flash,deepseek-v4-flash,plan_first,477,909,14.074266499999794,1,False,0.0003213
deepseek_v4_flash,deepseek-v4-flash,plan_first,454,1025,15.755255800000668,1,False,0.00035056
deepseek_v4_flash,deepseek-v4-flash,plan_first,464,1070,17.369803599998704,1,False,0.00036456000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,462,956,16.139504800001305,1,False,0.00033236
deepseek_v4_flash,deepseek-v4-flash,plan_first,479,1593,24.517563299999892,1,False,0.0005131000000000001
deepseek_v4_pro,deepseek-v4-pro,direct,472,1541,48.93616680000014,1,False,0.00154599
deepseek_v4_flash,deepseek-v4-flash,plan_first,458,2104,34.11251280000033,1,False,0.00065324
deepseek_v4_pro,deepseek-v4-pro,direct,447,1803,55.586447800000315,1,False,0.001763055
deepseek_v4_pro,deepseek-v4-pro,direct,449,2071,62.840251499999795,1,False,0.001997085
deepseek_v4_pro,deepseek-v4-pro,direct,450,2027,62.991468799998984,1,False,0.00195924
deepseek_v4_pro,deepseek-v4-pro,direct,454,1996,61.23494500000015,1,False,0.00193401
deepseek_v4_pro,deepseek-v4-pro,direct,446,2029,63.08700469999894,1,False,0.00195924
deepseek_v4_pro,deepseek-v4-pro,direct,468,1794,56.026761900000565,1,False,0.00176436
deepseek_v4_flash,deepseek-v4-flash,plan_first,454,900,14.943046700000195,1,False,0.00031556000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,481,1068,16.18552339999951,1,False,0.00036637999999999997
deepseek_v4_pro,deepseek-v4-pro,direct,455,1705,53.43222369999967,1,False,0.0016812749999999999
deepseek_v4_flash,deepseek-v4-flash,plan_first,444,945,14.451863300000696,1,False,0.00032676000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,455,1529,24.219454300000507,1,False,0.00049182
deepseek_v4_pro,deepseek-v4-pro,direct,471,2400,74.26385520000076,1,False,0.002292885
deepseek_v4_flash,deepseek-v4-flash,plan_first,457,1267,20.286765799999557,1,False,0.0004187400000000001
deepseek_v4_pro,deepseek-v4-pro,direct,456,2127,64.54549059999954,1,False,0.00204885
deepseek_v4_pro,deepseek-v4-pro,direct,456,1887,58.49546709999959,1,False,0.00184005
deepseek_v4_flash,deepseek-v4-flash,plan_first,456,1272,19.326864200000273,1,False,0.00042
deepseek_v4_pro,deepseek-v4-pro,direct,446,1818,56.349914499998704,1,False,0.00177567
deepseek_v4_flash,deepseek-v4-flash,plan_first,459,1460,23.530043300001125,1,False,0.00047306000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first,452,1852,28.93189639999946,1,False,0.00058184
deepseek_v4_pro,deepseek-v4-pro,direct,451,2400,74.60540180000135,1,False,0.0022841849999999998
deepseek_v4_flash,deepseek-v4-flash,plan_first,467,1540,23.82143840000026,1,False,0.00049658
deepseek_v4_flash,deepseek-v4-flash,plan_first,454,1206,18.607040400000187,1,False,0.00040124000000000003
deepseek_v4_pro,deepseek-v4-pro,direct,459,2234,67.61195880000014,1,False,0.002143245
deepseek_v4_pro,deepseek-v4-pro,direct,468,2400,73.77115160000176,1,False,0.00229158
deepseek_v4_flash,deepseek-v4-flash,plan_first,464,1080,17.686927799999467,1,False,0.00036736
deepseek_v4_flash,deepseek-v4-flash,plan_first,480,1216,18.34306050000123,1,False,0.00040768
deepseek_v4_pro,deepseek-v4-pro,direct,448,2231,69.09290470000087,1,False,0.00213585
deepseek_v4_pro,deepseek-v4-pro,direct,441,2085,63.54887469999994,1,False,0.002005785
deepseek_v4_flash,deepseek-v4-flash,plan_first,476,1098,17.26962139999887,1,False,0.00037408000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,461,772,13.312806500000079,1,False,0.00028070000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,475,956,14.856446800000413,1,False,0.00033418
deepseek_v4_pro,deepseek-v4-pro,direct,456,2272,69.74845479999931,1,False,0.002175
deepseek_v4_pro,deepseek-v4-pro,direct,473,2400,74.94349420000071,1,False,0.002293755
deepseek_v4_flash,deepseek-v4-flash,plan_first,463,1212,18.78054919999886,1,False,0.00040418
deepseek_v4_pro,deepseek-v4-pro,direct,453,2400,74.46739290000005,1,False,0.002285055
deepseek_v4_pro,deepseek-v4-pro,direct,451,2400,73.84901089999948,1,False,0.0022841849999999998
deepseek_v4_flash,deepseek-v4-flash,plan_first,461,861,14.891804900000352,1,False,0.00030562
deepseek_v4_pro,deepseek-v4-pro,direct,467,2400,73.18737209999927,1,False,0.002291145
deepseek_v4_flash,deepseek-v4-flash,plan_first,455,1118,18.227683799999795,1,False,0.00037674000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first,463,1393,22.663293099998555,1,False,0.00045486
deepseek_v4_flash,deepseek-v4-flash,plan_first,449,1162,17.90758790000109,1,False,0.00038822000000000005
deepseek_v4_flash,deepseek-v4-flash,plan_first,464,1022,17.4618059000004,1,False,0.00035112
deepseek_v4_flash,deepseek-v4-flash,plan_first,447,1650,26.34291040000062,1,False,0.0005245800000000001
deepseek_v4_pro,deepseek-v4-pro,plan_first,449,1343,35.85210629999892,1,False,0.001363725
deepseek_v4_flash,deepseek-v4-flash,spec_first,442,1285,21.063706699998875,1,False,0.00042168
deepseek_v4_pro,deepseek-v4-pro,plan_first,462,1328,40.85438939999949,1,False,0.00135633
deepseek_v4_pro,deepseek-v4-pro,plan_first,461,1746,54.6220699000005,1,False,0.001719555
deepseek_v4_flash,deepseek-v4-flash,spec_first,445,2400,35.358791999999085,1,False,0.0007343000000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,449,2400,37.22137759999896,1,False,0.0007348600000000002
deepseek_v4_flash,deepseek-v4-flash,spec_first,455,2400,35.73334860000068,1,False,0.0007357000000000002
deepseek_v4_flash,deepseek-v4-flash,spec_first,448,1936,28.023907599999802,1,False,0.0006048000000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,453,2400,38.0905487,1,False,0.0007354200000000001
deepseek_v4_pro,deepseek-v4-pro,plan_first,447,1490,46.79785009999978,1,False,0.001490745
deepseek_v4_pro,deepseek-v4-pro,plan_first,476,938,29.886544300001333,1,False,0.00102312
deepseek_v4_flash,deepseek-v4-flash,spec_first,440,2400,37.93238279999969,1,False,0.0007336000000000002
deepseek_v4_flash,deepseek-v4-flash,spec_first,435,2330,37.40076389999922,1,False,0.0007133
deepseek_v4_pro,deepseek-v4-pro,plan_first,464,1305,34.1303341999992,1,False,0.0013371899999999998
deepseek_v4_pro,deepseek-v4-pro,plan_first,463,1468,45.461142400001336,1,False,0.001478565
deepseek_v4_flash,deepseek-v4-flash,spec_first,457,2400,38.44918119999966,1,False,0.0007359800000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,466,2154,33.312381599998844,1,False,0.00066836
deepseek_v4_flash,deepseek-v4-flash,spec_first,471,2400,37.79030590000002,1,False,0.0007379400000000002
deepseek_v4_flash,deepseek-v4-flash,spec_first,452,2400,35.970006899999134,1,False,0.00073528
deepseek_v4_flash,deepseek-v4-flash,spec_first,447,2214,34.296622599998955,1,False,0.0006825000000000002
deepseek_v4_pro,deepseek-v4-pro,plan_first,467,2076,65.57976539999981,1,False,0.0020092649999999997
deepseek_v4_flash,deepseek-v4-flash,spec_first,471,2400,37.73368010000013,1,False,0.0007379400000000002
deepseek_v4_pro,deepseek-v4-pro,plan_first,478,2258,69.57524290000038,1,False,0.0021723899999999997
deepseek_v4_flash,deepseek-v4-flash,spec_first,448,1601,24.813630900000135,1,False,0.0005110000000000001
deepseek_v4_pro,deepseek-v4-pro,plan_first,480,1059,28.479063199998564,1,False,0.00113013
deepseek_v4_pro,deepseek-v4-pro,plan_first,455,2400,73.37135880000096,1,False,0.0022859250000000003
deepseek_v4_pro,deepseek-v4-pro,plan_first,459,2018,61.275017100000696,1,False,0.001955325
deepseek_v4_pro,deepseek-v4-pro,plan_first,464,1673,51.38145600000098,1,False,0.00165735
deepseek_v4_pro,deepseek-v4-pro,plan_first,444,1026,31.899601600000096,1,False,0.00108576
deepseek_v4_pro,deepseek-v4-pro,plan_first,464,1256,33.71680420000121,1,False,0.00129456
deepseek_v4_pro,deepseek-v4-pro,plan_first,455,1108,29.29325980000067,1,False,0.001161885
deepseek_v4_pro,deepseek-v4-pro,plan_first,476,642,20.35328699999991,1,False,0.0007656
deepseek_v4_flash,deepseek-v4-flash,spec_first,472,2015,29.701783999998952,1,False,0.0006302800000000001
deepseek_v4_pro,deepseek-v4-pro,plan_first,473,1710,52.415071600000374,1,False,0.001693455
deepseek_v4_pro,deepseek-v4-pro,plan_first,455,1152,36.33329739999863,1,False,0.001200165
deepseek_v4_pro,deepseek-v4-pro,plan_first,457,1310,40.578029099999185,1,False,0.001338495
deepseek_v4_pro,deepseek-v4-pro,plan_first,447,1840,48.00872690000142,1,False,0.0017952449999999998
deepseek_v4_flash,deepseek-v4-flash,spec_first,446,1776,29.24979699999858,1,False,0.00055972
deepseek_v4_pro,deepseek-v4-pro,plan_first,477,2400,73.3870480000005,1,False,0.002295495
deepseek_v4_pro,deepseek-v4-pro,plan_first,461,2047,54.51396359999853,1,False,0.001981425
deepseek_v4_pro,deepseek-v4-pro,plan_first,452,1880,58.05655320000005,1,False,0.0018322199999999999
deepseek_v4_pro,deepseek-v4-pro,plan_first,461,1729,53.8656076999996,1,False,0.001704765
deepseek_v4_flash,deepseek-v4-flash,spec_first,455,1895,31.16652950000025,1,False,0.0005943000000000001
deepseek_v4_pro,deepseek-v4-pro,plan_first,453,1770,55.84537880000062,1,False,0.001736955
deepseek_v4_pro,deepseek-v4-pro,plan_first,454,1928,59.30073640000046,1,False,0.00187485
deepseek_v4_pro,deepseek-v4-pro,plan_first,481,1684,49.30320960000063,1,False,0.0016743149999999998
deepseek_v4_pro,deepseek-v4-pro,plan_first,442,2400,62.53285119999964,1,False,0.00228027
deepseek_v4_pro,deepseek-v4-pro,plan_first,454,1551,47.53327510000054,1,False,0.00154686
deepseek_v4_pro,deepseek-v4-pro,plan_first,463,1524,47.86091409999972,1,False,0.0015272849999999998
deepseek_v4_pro,deepseek-v4-pro,plan_first,456,2242,68.6965166000009,1,False,0.0021489
deepseek_v4_pro,deepseek-v4-pro,plan_first,478,2400,72.22140360000049,1,False,0.00229593
deepseek_v4_flash,deepseek-v4-flash,spec_first,445,1308,20.50509499999862,1,False,0.00042854000000000004
deepseek_v4_pro,deepseek-v4-pro,plan_first,475,1504,46.531062800000655,1,False,0.001515105
deepseek_v4_pro,deepseek-v4-pro,plan_first,462,2220,67.51467330000014,1,False,0.0021323699999999998
deepseek_v4_flash,deepseek-v4-flash,spec_first,440,1977,31.415076999999656,1,False,0.0006151600000000001
deepseek_v4_pro,deepseek-v4-pro,plan_first,460,2261,70.61833850000039,1,False,0.00216717
deepseek_v4_pro,deepseek-v4-pro,plan_first,452,1812,56.21680600000036,1,False,0.00177306
deepseek_v4_pro,deepseek-v4-pro,plan_first,464,1345,42.47333509999953,1,False,0.00137199
deepseek_v4_flash,deepseek-v4-flash,spec_first,454,2400,39.186060399999405,1,False,0.0007355600000000001
deepseek_v4_pro,deepseek-v4-pro,plan_first,459,2354,71.56257750000077,1,False,0.002247645
deepseek_v4_pro,deepseek-v4-pro,plan_first,455,2400,73.43511820000094,1,False,0.0022859250000000003
deepseek_v4_pro,deepseek-v4-pro,plan_first,454,2164,64.81846819999919,1,False,0.00208017
deepseek_v4_pro,deepseek-v4-pro,plan_first,447,2372,73.77013980000083,1,False,0.002258085
deepseek_v4_flash,deepseek-v4-flash,spec_first,450,1125,16.665447999999742,1,False,0.0003780000000000001
deepseek_v4_pro,deepseek-v4-pro,plan_first,456,1869,56.83878949999962,1,False,0.00182439
deepseek_v4_flash,deepseek-v4-flash,spec_first,473,1044,16.875483100000565,1,False,0.0003585400000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,470,1430,23.043719900000724,1,False,0.00046620000000000006
deepseek_v4_flash,deepseek-v4-flash,spec_first,460,756,12.859974099999818,1,False,0.00027608000000000005
deepseek_v4_flash,deepseek-v4-flash,spec_first,437,2196,34.55106700000033,1,False,0.0006760600000000001
deepseek_v4_pro,deepseek-v4-pro,plan_first,462,2268,71.02564429999984,1,False,0.0021741300000000002
deepseek_v4_flash,deepseek-v4-flash,spec_first,451,2037,30.70527779999975,1,False,0.0006335
deepseek_v4_flash,deepseek-v4-flash,spec_first,448,1158,17.440554099999645,1,False,0.00038696000000000005
deepseek_v4_pro,deepseek-v4-pro,plan_first,458,2400,74.98892530000012,1,False,0.00228723
deepseek_v4_flash,deepseek-v4-flash,spec_first,440,927,15.064169799999945,1,False,0.00032116
deepseek_v4_pro,deepseek-v4-pro,plan_first,457,2280,69.98429919999944,1,False,0.002182395
deepseek_v4_pro,deepseek-v4-pro,plan_first,479,2326,71.18332259999988,1,False,0.0022319849999999997
deepseek_v4_pro,deepseek-v4-pro,plan_first,454,2020,60.593763700000636,1,False,0.00195489
deepseek_v4_flash,deepseek-v4-flash,spec_first,455,2400,35.36451080000006,1,False,0.0007357000000000002
deepseek_v4_pro,deepseek-v4-pro,plan_first,459,2400,74.86346520000006,1,False,0.002287665
deepseek_v4_flash,deepseek-v4-flash,spec_first,447,1318,21.81111769999916,1,False,0.00043162
deepseek_v4_flash,deepseek-v4-flash,spec_first,450,2400,35.13376729999982,1,False,0.0007350000000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,457,1573,24.306592399998408,1,False,0.0005044200000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,449,1395,22.165833699998984,1,False,0.00045346000000000004
deepseek_v4_flash,deepseek-v4-flash,spec_first,457,1159,17.76567679999971,1,False,0.00038850000000000006
deepseek_v4_flash,deepseek-v4-flash,spec_first,448,1617,23.908483100000012,1,False,0.00051548
deepseek_v4_flash,deepseek-v4-flash,spec_first,469,2400,38.09763290000046,1,False,0.0007376600000000001
deepseek_v4_flash,deepseek-v4-flash,spec_first,456,2400,37.29709840000032,1,False,0.0007358400000000002
deepseek_v4_flash,deepseek-v4-flash,spec_first,452,2386,37.012351299999864,1,False,0.00073136
