domain,model,agent,n,parse_rate,fallback_rate
calendar,deepseek_v4_flash,direct,10,1.0,0.0
calendar,deepseek_v4_flash,plan_first,10,1.0,0.0
calendar,deepseek_v4_flash,spec_first,10,0.5,0.5
calendar,deepseek_v4_pro,direct,10,1.0,0.0
calendar,deepseek_v4_pro,plan_first,10,1.0,0.0
calendar,deepseek_v4_pro,spec_first,10,0.9,0.1
crm_workflow,deepseek_v4_flash,direct,10,1.0,0.0
crm_workflow,deepseek_v4_flash,plan_first,10,0.9,0.1
crm_workflow,deepseek_v4_flash,spec_first,10,0.9,0.1
crm_workflow,deepseek_v4_pro,direct,10,0.6,0.4
crm_workflow,deepseek_v4_pro,plan_first,10,0.8,0.2
crm_workflow,deepseek_v4_pro,spec_first,10,0.5,0.5
email,deepseek_v4_flash,direct,10,1.0,0.0
email,deepseek_v4_flash,plan_first,10,1.0,0.0
email,deepseek_v4_flash,spec_first,10,0.9,0.1
email,deepseek_v4_pro,direct,10,1.0,0.0
email,deepseek_v4_pro,plan_first,10,1.0,0.0
email,deepseek_v4_pro,spec_first,10,0.5,0.5
file_doc,deepseek_v4_flash,direct,10,1.0,0.0
file_doc,deepseek_v4_flash,plan_first,10,1.0,0.0
file_doc,deepseek_v4_flash,spec_first,10,0.8,0.2
file_doc,deepseek_v4_pro,direct,10,1.0,0.0
file_doc,deepseek_v4_pro,plan_first,10,1.0,0.0
file_doc,deepseek_v4_pro,spec_first,10,0.4,0.6
sheet_db,deepseek_v4_flash,direct,10,1.0,0.0
sheet_db,deepseek_v4_flash,plan_first,10,1.0,0.0
sheet_db,deepseek_v4_flash,spec_first,10,0.8,0.2
sheet_db,deepseek_v4_pro,direct,10,0.9,0.1
sheet_db,deepseek_v4_pro,plan_first,10,0.9,0.1
sheet_db,deepseek_v4_pro,spec_first,10,0.5,0.5
