task_id,domain,difficulty,model,agent,provider,provider_model,parse_status,parsed,fallback,attempts,latency_s,prompt_chars,raw_output_chars,prompt_tokens,completion_tokens,total_tokens
email_025,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,18.144667200000185,1892.0,1197.0,439.0,929.0,1368.0
email_024,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.297420599999896,1942.0,1194.0,445.0,585.0,1030.0
email_029,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.873468699999648,1915.0,1281.0,439.0,689.0,1128.0
file_doc_025,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.761444699999629,1886.0,1414.0,446.0,733.0,1179.0
file_doc_024,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.672665199999756,1931.0,1201.0,453.0,683.0,1136.0
file_doc_028,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,17.96606350000002,1949.0,1197.0,455.0,986.0,1441.0
calendar_028,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,14.103818400000819,1994.0,1200.0,456.0,680.0,1136.0
sheet_db_027,sheet_db,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,21.36718529999962,1935.0,1060.0,448.0,1178.0,1626.0
email_028,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,17.577464199999667,1948.0,1612.0,446.0,872.0,1318.0
crm_workflow_028,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,24.331812000000355,1987.0,2649.0,472.0,1337.0,1809.0
crm_workflow_029,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,11.350534100000004,1960.0,1350.0,467.0,548.0,1015.0
file_doc_026,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,22.285508000000846,1913.0,2917.0,444.0,1294.0,1738.0
calendar_024,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,14.164627899999687,1988.0,1111.0,454.0,668.0,1122.0
sheet_db_030,sheet_db,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,18.159869600000093,1946.0,1777.0,456.0,916.0,1372.0
crm_workflow_027,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.9121954000002,1957.0,858.0,473.0,702.0,1175.0
email_026,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,18.39534239999921,1940.0,1071.0,449.0,988.0,1437.0
calendar_029,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,14.764324100000522,2014.0,1611.0,455.0,743.0,1198.0
email_021,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,15.228167500001291,1916.0,1622.0,441.0,782.0,1223.0
calendar_023,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,16.853538199999093,1995.0,1255.0,448.0,883.0,1331.0
crm_workflow_022,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,25.986358300000575,1956.0,1181.0,465.0,1462.0,1927.0
sheet_db_024,sheet_db,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,31.324229699999705,1925.0,2216.0,450.0,1800.0,2250.0
file_doc_027,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,24.035694299998795,1902.0,1179.0,447.0,1301.0,1748.0
sheet_db_029,sheet_db,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,17.80662090000078,1923.0,1982.0,451.0,989.0,1440.0
crm_workflow_026,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,25.30612579999979,1969.0,1720.0,469.0,1366.0,1835.0
calendar_030,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,17.92077170000084,2009.0,2001.0,453.0,1010.0,1463.0
sheet_db_025,sheet_db,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,25.964685300001292,1902.0,1469.0,451.0,1514.0,1965.0
email_023,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,24.663689100001648,1917.0,1276.0,434.0,1337.0,1771.0
crm_workflow_023,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,18.92057779999959,1961.0,1879.0,470.0,1062.0,1532.0
sheet_db_021,sheet_db,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,30.80292240000017,1918.0,1443.0,452.0,1854.0,2306.0
email_027,email,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,20.449245300000257,1919.0,831.0,436.0,1115.0,1551.0
file_doc_021,file_doc,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,20.1325925000001,1898.0,1607.0,447.0,1033.0,1480.0
calendar_026,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,22.37233329999981,2016.0,1817.0,456.0,1325.0,1781.0
sheet_db_026,sheet_db,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,23.08564280000064,1951.0,1387.0,459.0,1237.0,1696.0
calendar_027,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,20.44717739999942,1987.0,1234.0,449.0,1098.0,1547.0
