domain,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
calendar,deepseek_v4_flash,direct,10,0.3906959706959707,1.0,0.5999999999999999,0.0,1.0
calendar,deepseek_v4_flash,plan_first,10,0.32985347985347985,1.0,0.5999999999999999,0.0,1.0
calendar,deepseek_v4_flash,spec_first,10,0.7310714285714285,0.9,0.5399999999999998,0.2,0.8
calendar,deepseek_v4_pro,direct,10,0.3962362637362637,0.9,0.5399999999999998,0.0,1.0
calendar,deepseek_v4_pro,plan_first,10,0.46332417582417584,1.0,0.5999999999999999,0.0,1.0
calendar,deepseek_v4_pro,spec_first,10,0.4677698771816419,0.6,0.36,0.0,0.9333333333333332
crm_workflow,deepseek_v4_flash,direct,10,0.5093253968253968,1.0,0.5999999999999999,0.0,1.0
crm_workflow,deepseek_v4_flash,plan_first,10,0.567843137254902,1.0,0.5999999999999999,0.0,1.0
crm_workflow,deepseek_v4_flash,spec_first,10,0.702313258636788,0.8,0.47999999999999987,0.3,0.7
crm_workflow,deepseek_v4_pro,direct,10,0.7365406162464986,1.0,0.5999999999999999,0.0,1.0
crm_workflow,deepseek_v4_pro,plan_first,10,0.6121358543417367,0.9,0.5399999999999999,0.0,1.0
crm_workflow,deepseek_v4_pro,spec_first,10,0.6963025210084034,0.7,0.42000000000000004,0.2,0.8
email,deepseek_v4_flash,direct,10,0.42557907778496007,1.0,0.5999999999999999,0.0,1.0
email,deepseek_v4_flash,plan_first,10,0.5327289377289377,1.0,0.5999999999999999,0.0,1.0
email,deepseek_v4_flash,spec_first,10,0.6139724310776942,1.0,0.5999999999999999,0.2,0.8
email,deepseek_v4_pro,direct,10,0.6012682724911828,0.8,0.47999999999999987,0.0,1.0
email,deepseek_v4_pro,plan_first,10,0.5162384184443007,0.9,0.5399999999999998,0.0,1.0
email,deepseek_v4_pro,spec_first,10,0.7507142857142857,0.8,0.47999999999999987,0.3,0.7
file_doc,deepseek_v4_flash,direct,10,0.44165050635638864,1.0,0.5999999999999999,0.0,1.0
file_doc,deepseek_v4_flash,plan_first,10,0.41938860159448393,1.0,0.5999999999999999,0.0,1.0
file_doc,deepseek_v4_flash,spec_first,10,0.6914654282765739,1.0,0.5999999999999999,0.0,0.6333333333333333
file_doc,deepseek_v4_pro,direct,10,0.5835574229691877,0.9,0.5399999999999999,0.0,1.0
file_doc,deepseek_v4_pro,plan_first,10,0.5675166139330227,0.9,0.5399999999999999,0.0,1.0
file_doc,deepseek_v4_pro,spec_first,10,0.790873015873016,0.9,0.5399999999999998,0.0,0.9
sheet_db,deepseek_v4_flash,direct,10,0.4538553113553114,1.0,0.5999999999999999,0.0,1.0
sheet_db,deepseek_v4_flash,plan_first,10,0.48065018315018315,1.0,0.5999999999999999,0.0,1.0
sheet_db,deepseek_v4_flash,spec_first,10,0.6328571428571428,1.0,0.5999999999999999,0.0,0.8
sheet_db,deepseek_v4_pro,direct,10,0.4560552682611506,1.0,0.5999999999999999,0.0,1.0
sheet_db,deepseek_v4_pro,plan_first,10,0.5841282410400057,1.0,0.5999999999999999,0.0,1.0
sheet_db,deepseek_v4_pro,spec_first,10,0.7181361775479422,0.8,0.47999999999999987,0.0,0.8
