model,agent,task_id,k,task_success_pass_at_k,donespec_valid_pass_at_k,all_trials_consistent_success
deepseek_v4_flash,direct,calendar_021,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_022,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_023,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_024,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_025,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_026,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_027,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_028,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_029,1,0.0,1.0,1.0
deepseek_v4_flash,direct,calendar_030,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_021,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_022,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_023,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_024,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_025,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_026,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_027,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_028,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_029,1,0.0,1.0,1.0
deepseek_v4_flash,direct,crm_workflow_030,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_021,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_022,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_023,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_024,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_025,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_026,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_027,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_028,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_029,1,0.0,1.0,1.0
deepseek_v4_flash,direct,email_030,1,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_021,1,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_022,1,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_023,1,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_024,1,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_025,1,0.0,1.0,1.0
deepseek_v4_flash,direct,file_doc_026,1,0.0,1.0,1.0
