model,agent,execution_mode,spec_parse_status,action_parse_status,n
deepseek_v4_flash,direct_token_matched,tool_plan_executor,parsed,invalid_no_fallback,12
deepseek_v4_flash,direct_token_matched,tool_plan_executor,parsed,parsed,38
deepseek_v4_flash,plan_first_token_matched,tool_plan_executor,parsed,invalid_no_fallback,6
deepseek_v4_flash,plan_first_token_matched,tool_plan_executor,parsed,parsed,44
deepseek_v4_flash,spec_first_token_matched,tool_plan_executor,fallback,parsed,5
deepseek_v4_flash,spec_first_token_matched,tool_plan_executor,parsed,invalid_no_fallback,16
deepseek_v4_flash,spec_first_token_matched,tool_plan_executor,parsed,parsed,29
deepseek_v4_pro,direct_token_matched,tool_plan_executor,fallback,invalid_no_fallback,1
deepseek_v4_pro,direct_token_matched,tool_plan_executor,fallback,parsed,1
deepseek_v4_pro,direct_token_matched,tool_plan_executor,parsed,invalid_no_fallback,21
deepseek_v4_pro,direct_token_matched,tool_plan_executor,parsed,parsed,27
deepseek_v4_pro,plan_first_token_matched,tool_plan_executor,fallback,invalid_no_fallback,1
deepseek_v4_pro,plan_first_token_matched,tool_plan_executor,fallback,parsed,1
deepseek_v4_pro,plan_first_token_matched,tool_plan_executor,parsed,invalid_no_fallback,16
deepseek_v4_pro,plan_first_token_matched,tool_plan_executor,parsed,parsed,32
deepseek_v4_pro,spec_first_token_matched,tool_plan_executor,fallback,parsed,7
deepseek_v4_pro,spec_first_token_matched,tool_plan_executor,parsed,invalid_no_fallback,25
deepseek_v4_pro,spec_first_token_matched,tool_plan_executor,parsed,parsed,18
