task_id,domain,difficulty,model,agent,trial,execution_mode,spec_parse_status,action_parse_status,task_success,own_spec_pass,self_violation_rate,num_tool_calls,num_mutating_tool_calls,spec_prompt_chars,action_prompt_chars,spec_latency_s,action_latency_s,missing_precondition_steps,unknown_tool_steps,permission_denied_steps,side_effect_steps,confirmation_steps,unique_actions,action_sequence
email_029,email,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,1.0,1.0,0.0,5,2,3200,4124,17.71485770000072,10.507961100000102,0,0,0,0,1,5,email.inspect_state email.check_constraints confirm email.apply_update send_email
crm_workflow_021,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,1,0,3200,4037,15.612346300000354,13.537556900000709,0,0,0,0,0,1,crm.inspect_state
email_024,email,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,1.0,1.0,0.0,5,2,3200,4167,15.842989499999021,17.509989800000767,0,0,0,0,1,5,email.inspect_state email.check_constraints confirm email.apply_update send_email
crm_workflow_024,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,1,0,3200,3867,14.104476200000136,19.40062880000005,0,0,0,0,0,1,crm.inspect_state
crm_workflow_030,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,1,0,3200,4355,19.956323200000043,13.588855299998613,0,0,0,0,0,1,crm.inspect_state
calendar_024,calendar,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,1,0,3200,4139,14.591116799998417,21.592613800001345,0,0,0,0,0,1,calendar.inspect_state
sheet_db_027,sheet_db,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,1,0,3200,4134,22.839659600000232,14.193795600000158,0,0,0,0,0,1,sheet.inspect_state
email_021,email,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,0.0,0.0,1.0,1,0,3200,3826,14.761291400000118,22.33174450000115,0,0,0,0,0,1,email.inspect_state
email_023,email,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,1.0,1.0,0.0,5,2,3200,3931,20.6698923999993,16.59837400000106,0,0,0,0,1,5,email.inspect_state email.check_constraints confirm email.apply_update send_email
email_026,email,L2,deepseek_v4_flash,direct_token_matched,0,tool_plan_executor,parsed,parsed,1.0,1.0,0.0,5,2,3200,3799,19.942670700000235,18.986235000000306,0,0,0,0,1,5,email.inspect_state email.check_constraints confirm email.apply_update send_email
