model,provider_model,agent,input_tokens,output_tokens,latency_s,attempts,token_estimated,estimated_cost_usd
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,791,17.71485770000072,1,False,0.00031444000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,689,626,15.612346300000354,1,False,0.00027174
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,667,674,15.842989499999021,1,False,0.0002821
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,687,534,14.104476200000136,1,False,0.0002457
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,878,19.956323200000043,1,False,0.00034174
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,540,14.591116799998417,1,False,0.00024444
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,672,1143,22.839659600000232,1,False,0.00041412
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,576,14.761291400000118,1,False,0.00025452000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,1001,20.6698923999993,1,False,0.00037254000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,671,958,19.942670700000235,1,False,0.00036218000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,674,540,14.480864199998905,1,False,0.00024556000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,944,21.05707060000168,1,False,0.00035784000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,673,772,17.752040499999566,1,False,0.0003103800000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,683,670,16.225700799999686,1,False,0.00028322000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,677,1039,21.392913200001203,1,False,0.00038570000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,668,940,21.3564011999988,1,False,0.00035672000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,684,891,18.923813000001246,1,False,0.00034524
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,675,871,18.5929799000005,1,False,0.00033838000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,665,1644,30.99129989999892,1,False,0.0005534200000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,670,1230,24.734407300000385,1,False,0.0004382
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,667,1292,24.846204299999954,1,False,0.00045514000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,669,1043,23.206399599999713,1,False,0.00038570000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,692,1199,23.308367999999973,1,False,0.0004326
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,690,1615,30.599321199999395,1,False,0.0005488000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,1156,24.700850199998968,1,False,0.00041958
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,448,12.633806600000753,1,False,0.00021868000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,672,1178,24.29002109999965,1,False,0.00042392000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,669,822,18.93367969999963,1,False,0.00032382000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,677,870,18.4763712999993,1,False,0.00033838000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,667,529,13.185406000000512,1,False,0.0002415
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,659,581,14.721180999998978,1,False,0.00025494
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,662,915,19.540310999998837,1,False,0.00034888000000000003
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,666,1923,37.65965739999956,1,False,0.00063168
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,678,733,16.636527099999512,1,False,0.00030016
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,688,2005,38.89523349999945,1,False,0.0006577200000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,674,1267,25.09679099999994,1,False,0.00044912000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,685,1811,34.9650743000002,1,False,0.00060298
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,669,868,19.53754520000075,1,False,0.00033670000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,761,17.79169120000006,1,False,0.0003059
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,663,794,17.096694699999716,1,False,0.00031514000000000005
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,675,1253,26.281512999999904,1,False,0.00044534
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,677,1689,31.619410000001153,1,False,0.0005677000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,664,1115,24.65654010000071,1,False,0.00040516000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,1737,35.23302479999984,1,False,0.0005789000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,661,1146,24.24577709999903,1,False,0.00041342000000000006
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,675,1787,34.585586900000635,1,False,0.0005948600000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,674,1668,31.51923859999988,1,False,0.0005614000000000001
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,678,1282,27.243002299999716,1,False,0.00045388000000000004
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,677,1994,36.416870999999446,1,False,0.0006531
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,673,568,9.9978701,1,False,0.00025326000000000005
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,659,1397,48.19682119999925,1,False,0.001502055
deepseek_v4_flash,deepseek-v4-flash,direct_token_matched,677,2206,39.756459399999585,1,False,0.00071246
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,673,957,31.781561199999487,1,False,0.001125345
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,688,712,12.548974400000589,1,False,0.00029568
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,661,2400,80.14609310000014,1,False,0.002375535
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,669,1328,36.13790449999942,1,False,0.001446375
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,668,1690,52.9255749999993,1,False,0.0017608799999999998
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,665,1327,41.896743700001025,1,False,0.0014437649999999998
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,666,1768,58.128124599999865,1,False,0.00182787
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,667,1610,55.47229289999996,1,False,0.001690845
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,683,1497,50.92096390000006,1,False,0.001599495
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,674,593,9.971382700001413,1,False,0.00026040000000000004
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,683,1360,22.828560699999798,1,False,0.00047642
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,666,1663,56.03533419999985,1,False,0.00173652
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,677,2014,68.07392849999997,1,False,0.002046675
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,680,1237,19.939918000000034,1,False,0.00044156
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,670,908,16.406532700000753,1,False,0.0003480400000000001
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,659,1052,38.2057549000001,1,False,0.001201905
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,689,1228,43.06817260000025,1,False,0.0013680749999999998
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,674,1227,33.21480789999987,1,False,0.00136068
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,677,1700,52.4216368999987,1,False,0.001773495
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,665,797,14.741716900000029,1,False,0.00031626000000000007
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,675,1696,57.268879999999626,1,False,0.001769145
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,670,1765,54.145253499998944,1,False,0.001827
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,688,1563,45.29410749999988,1,False,0.00165909
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,681,734,12.671624899998278,1,False,0.00030086
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,693,1652,27.56027759999961,1,False,0.0005595800000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,666,1959,32.71675189999951,1,False,0.0006417600000000001
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,662,1282,38.23726050000005,1,False,0.0014033099999999998
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,668,1434,49.46972380000079,1,False,0.0015381599999999998
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,667,1748,45.93298420000065,1,False,0.001810905
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,691,941,16.160719999999856,1,False,0.00036022
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,692,1972,32.95918299999903,1,False,0.00064904
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,664,2218,68.09484570000131,1,False,0.0022185
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,673,1581,26.41730479999933,1,False,0.0005369000000000001
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,667,985,30.264033299999937,1,False,0.001147095
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,672,1737,30.736684600000444,1,False,0.0005804400000000001
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,663,1510,46.603350800000044,1,False,0.001602105
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,672,1845,61.7143073999996,1,False,0.00189747
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,690,1479,38.84654469999987,1,False,0.0015868800000000001
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,674,1652,51.881756900000255,1,False,0.00173043
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,671,982,18.532930999999735,1,False,0.0003689
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,673,908,16.875639600000795,1,False,0.00034846000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,671,881,15.35821290000058,1,False,0.0003406200000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,678,1800,31.3085745999997,1,False,0.0005989200000000001
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,677,1150,35.88822280000022,1,False,0.001294995
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,670,732,12.710324399999081,1,False,0.00029875999999999997
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,680,1557,26.117621400000644,1,False,0.00053116
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,664,2010,33.41236290000052,1,False,0.0006557600000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,679,1961,32.62723349999942,1,False,0.0006441400000000001
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,666,1374,42.90047249999952,1,False,0.0014850899999999999
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,667,1368,22.65067959999942,1,False,0.00047642
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,690,1039,17.026267299999745,1,False,0.00038752000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,672,732,12.711169500000324,1,False,0.00029904000000000004
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,671,1570,49.558919699999024,1,False,0.0016577850000000002
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,684,1566,48.42396580000059,1,False,0.00165996
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,694,1536,26.72846759999993,1,False,0.00052724
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,666,1341,41.58084229999986,1,False,0.0014563800000000002
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,687,1587,49.463248800000656,1,False,0.001679535
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,677,2400,78.7323938999998,1,False,0.002382495
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,678,1251,39.24372360000052,1,False,0.0013832999999999999
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,675,1453,24.46303529999932,1,False,0.0005013400000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,684,1871,30.719371900000624,1,False,0.00061964
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,689,779,13.019637999999759,1,False,0.00031458000000000007
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,661,1768,53.38223409999955,1,False,0.0018256950000000002
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,664,1394,43.75023499999952,1,False,0.00150162
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,689,733,13.254159800000707,1,False,0.00030170000000000007
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,669,2400,71.47967869999957,1,False,0.002379015
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,671,946,16.27137439999933,1,False,0.00035882000000000004
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,677,932,30.10864859999856,1,False,0.001105335
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,668,1066,18.221015900000566,1,False,0.000392
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,672,1266,38.067031299999144,1,False,0.00139374
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,696,1195,20.142470599999797,1,False,0.00043204
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,675,826,14.9005717,1,False,0.00032578
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,666,777,13.823017699998672,1,False,0.0003108000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,680,819,13.61158230000001,1,False,0.00032452
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,685,1261,39.34447890000047,1,False,0.0013950450000000001
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,685,1515,44.97488350000094,1,False,0.001616025
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,667,1465,24.249875500001508,1,False,0.00050358
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,663,1399,44.973778100000345,1,False,0.001505535
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,676,1621,28.520830499999647,1,False,0.0005485200000000001
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,685,1396,43.901244399999996,1,False,0.001512495
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,668,592,10.439747200000056,1,False,0.00025928
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,682,1754,29.107367099999465,1,False,0.0005866000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,673,1172,21.863758999999845,1,False,0.00042238000000000003
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,679,1978,35.74922510000033,1,False,0.0006489000000000001
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,681,1749,31.12116160000005,1,False,0.0005850600000000001
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,675,1769,54.976176099999066,1,False,0.0018326549999999999
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,692,2183,67.0668700999995,1,False,0.00220023
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,681,631,11.842058099999122,1,False,0.00027202
deepseek_v4_pro,deepseek-v4-pro,direct_token_matched,678,2400,73.35123810000005,1,False,0.0023829299999999997
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,674,1653,27.671353899999303,1,False,0.0005572
deepseek_v4_flash,deepseek-v4-flash,plan_first_token_matched,679,1655,29.78461679999964,1,False,0.00055846
