task_id,domain,difficulty,agent,model,trial,cc_precision,cc_recall,cc_f1,success_f1,failure_f1,required_observation_recall,overconstraint_rate,underspecification_rate,donespec_valid,near_miss_detection_rate,near_miss_false_accept_rate,valid_accept_rate,verifier_robustness_balanced_accuracy,task_success,own_spec_pass,spec_action_consistency,self_violation_rate,quadrant
email_029,email,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.2727272727272727,0.42857142857142855,0.25,0.6666666666666666,0.5,0.0,0.7272727272727273,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_024,email,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.5454545454545454,0.7058823529411764,0.6,0.6666666666666666,1.0,0.0,0.45454545454545453,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_023,email,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.36363636363636365,0.5333333333333333,0.25,0.6666666666666666,1.0,0.0,0.6363636363636364,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_026,email,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.18181818181818182,0.3076923076923077,0.0,0.0,1.0,0.0,0.8181818181818182,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_026,crm_workflow,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.36363636363636365,0.5333333333333333,0.25,0.6666666666666666,1.0,0.0,0.6363636363636364,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_030,email,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.2727272727272727,0.42857142857142855,0.0,0.6666666666666666,1.0,0.0,0.7272727272727273,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_027,crm_workflow,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.2727272727272727,0.42857142857142855,0.4444444444444445,0.0,0.5,0.0,0.7272727272727273,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_028,crm_workflow,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.36363636363636365,0.5333333333333333,0.25,0.6666666666666666,1.0,0.0,0.6363636363636364,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_027,email,L2,direct_token_matched,deepseek_v4_flash,0,1.0,0.2727272727272727,0.42857142857142855,0.25,0.6666666666666666,0.5,0.0,0.7272727272727273,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_022,email,L2,plan_first_token_matched,deepseek_v4_flash,0,1.0,0.2727272727272727,0.42857142857142855,0.0,0.6666666666666666,1.0,0.0,0.7272727272727273,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_021,email,L2,direct_token_matched,deepseek_v4_pro,0,1.0,0.5454545454545454,0.7058823529411764,0.6,0.6666666666666666,1.0,0.0,0.45454545454545453,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_024,email,L2,direct_token_matched,deepseek_v4_pro,0,1.0,0.18181818181818182,0.3076923076923077,0.0,0.0,1.0,0.0,0.8181818181818182,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
email_025,email,L2,plan_first_token_matched,deepseek_v4_flash,0,1.0,0.2727272727272727,0.42857142857142855,0.0,0.6666666666666666,1.0,0.0,0.7272727272727273,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
crm_workflow_028,crm_workflow,L2,plan_first_token_matched,deepseek_v4_flash,0,1.0,0.2727272727272727,0.42857142857142855,0.25,0.6666666666666666,0.5,0.0,0.7272727272727273,1.0,0.6,0.4,1.0,0.8,1.0,1.0,1.0,0.0,bad_spec_good_execution
