domain,model,agent,n,parse_rate,fallback_rate
calendar,deepseek_v4_flash,direct_token_matched,10,1.0,0.0
calendar,deepseek_v4_flash,plan_first_token_matched,10,1.0,0.0
calendar,deepseek_v4_flash,spec_first_token_matched,10,0.9,0.1
calendar,deepseek_v4_pro,direct_token_matched,10,0.9,0.1
calendar,deepseek_v4_pro,plan_first_token_matched,10,1.0,0.0
calendar,deepseek_v4_pro,spec_first_token_matched,10,0.9,0.1
crm_workflow,deepseek_v4_flash,direct_token_matched,10,1.0,0.0
crm_workflow,deepseek_v4_flash,plan_first_token_matched,10,1.0,0.0
crm_workflow,deepseek_v4_flash,spec_first_token_matched,10,0.9,0.1
crm_workflow,deepseek_v4_pro,direct_token_matched,10,1.0,0.0
crm_workflow,deepseek_v4_pro,plan_first_token_matched,10,0.9,0.1
crm_workflow,deepseek_v4_pro,spec_first_token_matched,10,0.7,0.3
email,deepseek_v4_flash,direct_token_matched,10,1.0,0.0
email,deepseek_v4_flash,plan_first_token_matched,10,1.0,0.0
email,deepseek_v4_flash,spec_first_token_matched,10,1.0,0.0
email,deepseek_v4_pro,direct_token_matched,10,1.0,0.0
email,deepseek_v4_pro,plan_first_token_matched,10,1.0,0.0
email,deepseek_v4_pro,spec_first_token_matched,10,0.9,0.1
file_doc,deepseek_v4_flash,direct_token_matched,10,1.0,0.0
file_doc,deepseek_v4_flash,plan_first_token_matched,10,1.0,0.0
file_doc,deepseek_v4_flash,spec_first_token_matched,10,0.9,0.1
file_doc,deepseek_v4_pro,direct_token_matched,10,1.0,0.0
file_doc,deepseek_v4_pro,plan_first_token_matched,10,0.9,0.1
file_doc,deepseek_v4_pro,spec_first_token_matched,10,1.0,0.0
sheet_db,deepseek_v4_flash,direct_token_matched,10,1.0,0.0
sheet_db,deepseek_v4_flash,plan_first_token_matched,10,1.0,0.0
sheet_db,deepseek_v4_flash,spec_first_token_matched,10,0.8,0.2
sheet_db,deepseek_v4_pro,direct_token_matched,10,0.9,0.1
sheet_db,deepseek_v4_pro,plan_first_token_matched,10,1.0,0.0
sheet_db,deepseek_v4_pro,spec_first_token_matched,10,0.8,0.2
