task_id,domain,difficulty,model,agent,provider,provider_model,parse_status,parsed,fallback,attempts,latency_s,prompt_chars,raw_output_chars,prompt_tokens,completion_tokens,total_tokens
email_029,email,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,17.71485770000072,3200.0,1336.0,664.0,791.0,1455.0
crm_workflow_021,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,15.612346300000354,3200.0,1264.0,689.0,626.0,1315.0
email_024,email,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,15.842989499999021,3200.0,1258.0,667.0,674.0,1341.0
crm_workflow_024,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,14.104476200000136,3200.0,988.0,687.0,534.0,1221.0
crm_workflow_030,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,19.956323200000043,3200.0,1820.0,685.0,878.0,1563.0
calendar_024,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,14.591116799998417,3200.0,1352.0,666.0,540.0,1206.0
sheet_db_027,sheet_db,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,22.839659600000232,3200.0,1346.0,672.0,1143.0,1815.0
email_021,email,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,14.761291400000118,3200.0,992.0,666.0,576.0,1242.0
email_023,email,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,20.6698923999993,3200.0,1205.0,659.0,1001.0,1660.0
email_026,email,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,19.942670700000235,3200.0,805.0,671.0,958.0,1629.0
file_doc_028,file_doc,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,14.480864199998905,3200.0,1497.0,674.0,540.0,1214.0
email_022,email,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,21.05707060000168,3200.0,1085.0,668.0,944.0,1612.0
file_doc_029,file_doc,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,17.752040499999566,3200.0,1125.0,673.0,772.0,1445.0
crm_workflow_022,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,16.225700799999686,3200.0,1190.0,683.0,670.0,1353.0
file_doc_025,file_doc,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,21.392913200001203,3200.0,1236.0,677.0,1039.0,1716.0
email_025,email,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,21.3564011999988,3200.0,1647.0,668.0,940.0,1608.0
crm_workflow_026,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,18.923813000001246,3200.0,1208.0,684.0,891.0,1575.0
file_doc_021,file_doc,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,18.5929799000005,3200.0,1285.0,675.0,871.0,1546.0
email_028,email,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,30.99129989999892,3200.0,1873.0,665.0,1644.0,2309.0
file_doc_026,file_doc,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,24.734407300000385,3200.0,2068.0,670.0,1230.0,1900.0
file_doc_022,file_doc,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,24.846204299999954,3200.0,1346.0,667.0,1292.0,1959.0
email_030,email,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,23.206399599999713,3200.0,1170.0,669.0,1043.0,1712.0
crm_workflow_027,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,23.308367999999973,3200.0,1142.0,692.0,1199.0,1891.0
crm_workflow_025,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,30.599321199999395,3200.0,1368.0,690.0,1615.0,2305.0
crm_workflow_028,crm_workflow,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,24.700850199998968,3200.0,1892.0,685.0,1156.0,1841.0
calendar_021,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,12.633806600000753,3200.0,946.0,666.0,448.0,1114.0
file_doc_023,file_doc,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,24.29002109999965,3200.0,1440.0,672.0,1178.0,1850.0
file_doc_030,file_doc,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,18.93367969999963,3200.0,2043.0,669.0,822.0,1491.0
sheet_db_030,sheet_db,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,18.4763712999993,3200.0,2111.0,677.0,870.0,1547.0
calendar_028,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,13.185406000000512,3200.0,1147.0,667.0,529.0,1196.0
calendar_023,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,14.721180999998978,3200.0,1286.0,659.0,581.0,1240.0
calendar_027,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,19.540310999998837,3200.0,1488.0,662.0,915.0,1577.0
calendar_025,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,True,False,1.0,37.65965739999956,3200.0,1617.0,666.0,1923.0,2589.0
