domain,model,agent,n,cc_f1,donespec_valid,near_miss_detection_rate,task_success,self_violation_rate
calendar,deepseek_v4_flash,direct_token_matched,10,0.39915750915750914,1.0,0.5999999999999999,0.0,0.9333333333333332
calendar,deepseek_v4_flash,plan_first_token_matched,10,0.34194139194139195,1.0,0.5999999999999999,0.1,0.8333333333333333
calendar,deepseek_v4_flash,spec_first_token_matched,10,0.5141505063563887,1.0,1.0,0.0,1.0
calendar,deepseek_v4_pro,direct_token_matched,10,0.4490201465201465,1.0,0.5999999999999999,0.0,0.9333333333333332
calendar,deepseek_v4_pro,plan_first_token_matched,10,0.4662454212454213,0.9,0.5399999999999999,0.0,0.9333333333333332
calendar,deepseek_v4_pro,spec_first_token_matched,10,0.5577380952380953,0.6,0.6,0.1,0.9
crm_workflow,deepseek_v4_flash,direct_token_matched,10,0.5191596638655461,1.0,0.5999999999999999,0.3,0.7
crm_workflow,deepseek_v4_flash,plan_first_token_matched,10,0.48669018889607124,1.0,0.5999999999999999,0.2,0.8
crm_workflow,deepseek_v4_flash,spec_first_token_matched,10,0.6302240896358543,1.0,1.0,0.4,0.6
crm_workflow,deepseek_v4_pro,direct_token_matched,10,0.5543113912231559,0.9,0.5399999999999998,0.1,0.85
crm_workflow,deepseek_v4_pro,plan_first_token_matched,10,0.5890266106442577,0.8,0.47999999999999987,0.1,0.9
crm_workflow,deepseek_v4_pro,spec_first_token_matched,10,0.7340336134453782,0.9,0.9,0.1,0.9
email,deepseek_v4_flash,direct_token_matched,10,0.49289808230984705,1.0,0.5999999999999999,0.6,0.4
email,deepseek_v4_flash,plan_first_token_matched,10,0.45053113553113555,0.9,0.5399999999999998,0.5,0.5
email,deepseek_v4_flash,spec_first_token_matched,10,0.49492063492063487,0.9,0.9,0.5,0.5
email,deepseek_v4_pro,direct_token_matched,10,0.5647164763341235,1.0,0.5999999999999999,0.3,0.65
email,deepseek_v4_pro,plan_first_token_matched,10,0.5240955613014437,1.0,0.5999999999999999,0.6,0.3333333333333333
email,deepseek_v4_pro,spec_first_token_matched,10,0.5808730158730159,0.5,0.5,0.3,0.7
file_doc,deepseek_v4_flash,direct_token_matched,10,0.5089145658263305,1.0,0.5999999999999999,0.0,0.5333333333333333
file_doc,deepseek_v4_flash,plan_first_token_matched,10,0.5717460317460317,1.0,0.5999999999999999,0.0,0.5666666666666667
file_doc,deepseek_v4_flash,spec_first_token_matched,10,0.6847875816993464,0.9,0.9,0.0,0.7555555555555555
file_doc,deepseek_v4_pro,direct_token_matched,10,0.615422502334267,1.0,0.5999999999999999,0.0,0.9
file_doc,deepseek_v4_pro,plan_first_token_matched,10,0.5502860374919198,0.9,0.5399999999999999,0.0,0.7333333333333333
file_doc,deepseek_v4_pro,spec_first_token_matched,10,0.6127791291955379,0.7,0.7,0.0,0.861111111111111
sheet_db,deepseek_v4_flash,direct_token_matched,10,0.42731684981684986,1.0,0.5999999999999999,0.0,0.85
sheet_db,deepseek_v4_flash,plan_first_token_matched,10,0.4489194139194139,1.0,0.5999999999999999,0.0,0.7
sheet_db,deepseek_v4_flash,spec_first_token_matched,10,0.6451599870717517,0.8,0.8,0.0,0.8444444444444443
sheet_db,deepseek_v4_pro,direct_token_matched,10,0.6641059757236227,1.0,0.5999999999999999,0.0,0.85
sheet_db,deepseek_v4_pro,plan_first_token_matched,10,0.571445185361594,1.0,0.5999999999999999,0.0,0.7
sheet_db,deepseek_v4_pro,spec_first_token_matched,10,0.6986012826183106,0.7,0.7,0.0,0.8222222222222222
